DocID,SetID,NDCCode,NDCName,GenericName,FormCode,FormName,IngredientStatus,IngredientCode,SubstanceName,Dose,unit,MoietyName,MoietyCode,SPECIFICATION
dde66f79-13bf-4681-9aee-f15062101b3f,3803324c-40e5-4f54-b30c-0a3714a31306,51345-063,"BodycologyExotic Cherry Kit
                        ",,,,INGR,059QF0KO0R,WATER,,null/null,,,OTC
dde66f79-13bf-4681-9aee-f15062101b3f,3803324c-40e5-4f54-b30c-0a3714a31306,51345-063,"BodycologyExotic Cherry Kit
                        ",,,,INGR,BPV390UAP0,SODIUM LAURETH SULFATE,,null/null,,,OTC
dde66f79-13bf-4681-9aee-f15062101b3f,3803324c-40e5-4f54-b30c-0a3714a31306,51345-063,"BodycologyExotic Cherry Kit
                        ",,,,INGR,5OCF3O11KX,COCAMIDOPROPYL BETAINE,,null/null,,,OTC
dde66f79-13bf-4681-9aee-f15062101b3f,3803324c-40e5-4f54-b30c-0a3714a31306,51345-063,"BodycologyExotic Cherry Kit
                        ",,,,INGR,ZY81Z83H0X,ALOE VERA LEAF,,null/null,,,OTC
dde66f79-13bf-4681-9aee-f15062101b3f,3803324c-40e5-4f54-b30c-0a3714a31306,51345-063,"BodycologyExotic Cherry Kit
                        ",,,,INGR,Y9H1V576FH,HONEY,,null/null,,,OTC
dde66f79-13bf-4681-9aee-f15062101b3f,3803324c-40e5-4f54-b30c-0a3714a31306,51345-063,"BodycologyExotic Cherry Kit
                        ",,,,INGR,13W7MDN21W,GLYCOL DISTEARATE,,null/null,,,OTC
dde66f79-13bf-4681-9aee-f15062101b3f,3803324c-40e5-4f54-b30c-0a3714a31306,51345-063,"BodycologyExotic Cherry Kit
                        ",,,,INGR,C80684146D,COCO MONOETHANOLAMIDE,,null/null,,,OTC
dde66f79-13bf-4681-9aee-f15062101b3f,3803324c-40e5-4f54-b30c-0a3714a31306,51345-063,"BodycologyExotic Cherry Kit
                        ",,,,INGR,BD7AST04GA,LAURETH-10,,null/null,,,OTC
dde66f79-13bf-4681-9aee-f15062101b3f,3803324c-40e5-4f54-b30c-0a3714a31306,51345-063,"BodycologyExotic Cherry Kit
                        ",,,,INGR,451W47IQ8X,SODIUM CHLORIDE,,null/null,,,OTC
dde66f79-13bf-4681-9aee-f15062101b3f,3803324c-40e5-4f54-b30c-0a3714a31306,51345-063,"BodycologyExotic Cherry Kit
                        ",,,,INGR,7FLD91C86K,EDETATE DISODIUM,,null/null,,,OTC
dde66f79-13bf-4681-9aee-f15062101b3f,3803324c-40e5-4f54-b30c-0a3714a31306,51345-063,"BodycologyExotic Cherry Kit
                        ",,,,INGR,1W6L629B4K,SULISOBENZONE,,null/null,,,OTC
